scene_name,status,timestamp
S1A_IW_SLC__1SDV_20250401T165922_20250401T165949_058566_073F7A_9286,INVALID_AOI_FILE,2025-06-13 14:39:30
S1A_IW_SLC__1SDV_20250401T165947_20250401T170015_058566_073F7A_9D05,INVALID_AOI_FILE,2025-06-13 14:39:31
S1A_IW_SLC__1SDV_20250406T170739_20250406T170806_058639_07427F_22BA,INVALID_AOI_FILE,2025-06-13 14:39:31
S1A_IW_SLC__1SDV_20250410T052634_20250410T052702_058690_074497_0558,NO_INPUT_FILE,2025-06-13 14:39:32
S1A_IW_SLC__1SDV_20250410T052700_20250410T052727_058690_074497_8231,INVALID_AOI_FILE,2025-06-13 14:39:32
S1A_IW_SLC__1SDV_20250413T165922_20250413T165949_058741_0746A9_00DE,INVALID_AOI_FILE,2025-06-13 14:39:32
S1A_IW_SLC__1SDV_20250413T165947_20250413T170015_058741_0746A9_DFCB,INVALID_AOI_FILE,2025-06-13 14:39:33
S1A_IW_SLC__1SDV_20250418T170739_20250418T170806_058814_0749A8_1E9C,INVALID_AOI_FILE,2025-06-13 14:39:33
S1A_IW_SLC__1SDV_20250422T052634_20250422T052702_058865_074BC1_2D8E,NO_INPUT_FILE,2025-06-13 14:39:34
S1A_IW_SLC__1SDV_20250422T052700_20250422T052727_058865_074BC1_2FCF,INVALID_AOI_FILE,2025-06-13 14:39:34
S1A_IW_SLC__1SDV_20250425T165922_20250425T165949_058916_074DCC_6DB4,INVALID_AOI_FILE,2025-06-13 14:39:34
S1A_IW_SLC__1SDV_20250425T165947_20250425T170015_058916_074DCC_68E7,INVALID_AOI_FILE,2025-06-13 14:39:35
S1A_IW_SLC__1SDV_20250430T170740_20250430T170807_058989_0750CA_7369,INVALID_AOI_FILE,2025-06-13 14:39:35
S1A_IW_SLC__1SDV_20250504T052634_20250504T052702_059040_0752C4_9BD3,NO_INPUT_FILE,2025-06-13 14:39:36
S1A_IW_SLC__1SDV_20250504T052700_20250504T052727_059040_0752C4_F8A5,INVALID_AOI_FILE,2025-06-13 14:39:36
S1A_IW_SLC__1SDV_20250507T165922_20250507T165949_059091_0754BF_ACE5,INVALID_AOI_FILE,2025-06-13 14:39:37
S1A_IW_SLC__1SDV_20250507T165947_20250507T170015_059091_0754BF_2AB1,INVALID_AOI_FILE,2025-06-13 14:39:37
S1A_IW_SLC__1SDV_20250512T170739_20250512T170806_059164_07574E_F1A8,INVALID_AOI_FILE,2025-06-13 14:39:37
S1A_IW_SLC__1SDV_20250516T052634_20250516T052702_059215_075912_2D44,NO_INPUT_FILE,2025-06-13 14:39:38
S1A_IW_SLC__1SDV_20250516T052700_20250516T052727_059215_075912_74A0,INVALID_AOI_FILE,2025-06-13 14:39:38
S1A_IW_SLC__1SDV_20250519T165922_20250519T165949_059266_075AC7_B84A,INVALID_AOI_FILE,2025-06-13 14:39:39
S1A_IW_SLC__1SDV_20250519T165947_20250519T170015_059266_075AC7_4D14,INVALID_AOI_FILE,2025-06-13 14:39:39
